file_name,caption_1,caption_2,caption_3,caption_4,caption_5
A swing is squeaking at night. (Ukraine.wav,A high pitched wind instrument is played over and over the notes make a high pitched squeal.,A person plays the wind instrument making sharp shrill sounds terrible to listen to.,"As a bus is moving, someone plays a flute.",Someone was playing flute in a moving bus,The flutist tunes his instrument before beginning to play.
Lively Forest Stream (loop).wav,A river flows and water trickles down the rocks.,"As the river flows, water trickled down the rocks.","Raining really hard, street flooded, it did not look like going to stop.",Water drips slowly an continuously as a video is playing.,Water trickles down the rocks as the river flows.
AMB_Supermarket_BCN.wav,A cashier at a grocery store scanning items.,A grocery store clerk is scanning some items of food.,A grocery store clerk scanning some items of food.,A scanner beeps as items are being run along it.,"At a grocery store, a cashier is scanning items."
Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav,A farm has several oinking hogs in it.,A few pigs are oinking while a child is speaking in the background.,A lot of pigs oinking in the background,Hogs oinking in an enclosure with faint noises of people talking in the background.,Pigs oinking while people chatter in the background.
City Ambience w_ Car Passing_1-2.wav,A truck drives down a road before fading into the distance.,A truck driving down the road before disappearing.,A vehicle has drove past a quiet environment .,"An engine rumbles, splutters slightly and fades into the distance as it passes.",An engine splutters and rumbles slightly and fades into the distance as it passes.
Goin wee wee.wav,A person noisily uses and then flushes a toilet.,"Someone first noisily uses, then flushes a toilet.",Someone urinated into the water closet and flushed it,Someone was urinating into the toilet with water and then flushed it.,Water slowly drips before moving into large splashes before a giant flush.
Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav,A car engine getting louder and tires moving over crunching gravel.,"A car rides down a gravel driveway, gains speed and exits onto the street.","A car riding down a gravel driveway, gains speed and moves onto the street.",A vehicle is maneuvering on gravel and then drives away.,A vehicle maneuvers on gravel before driving away.
Baby crying slowed down.wav,"A creature grunts like human, mumbles as time progresses.",A person is struggling in distress and making noises gasping for air.,A person is struggling in distress and making noises to gasp for air.,Human vocal chords are poorly imitating a farm animal.,Human vocal chords imitate a farm animal poorly.
pc_mouse.wav,A bored person is tapping and rubbing their fingers on a tabletop.,A person tapping their fingers on desk and cracks their knuckles.,Someone cracks their knuckles after strumming their fingers on a desk.,The flow of the wind and taps on a microphone and a channel being tuned.,wind blowing sound and tapping on microphone and tuning the channel sound.
metro underground ambient noisy transport catalan barcelona minimal tickling glitch.wav,A public transport alerts its passengers and states something.,An airplane speaker tells something to passengers with talking in the background.,An electronic voice makes an announcement to a group of people speaking.,Warning sound and an announcement on public transportation,some people are talking followed by an announcement
hugeSlidingDoorSlamECM800.wav,Somebody hammers wood while another opens and shuts a major sliding entryway.,Someone hammers wood while another opens and closes a big sliding door.,Something knocked the door and it was closed and silenced before the thing knocked it again,Tapping on a door followed by silence for awhile and then an door opening and closing.,tapping the door sound followed by an idle sound and door open and close sound.
Boa Constrictor.wav,A butane fire roars to live and fades out and then fades back into life,A flame from a welding iron is turned on and off.,A person using a hose to clean something.,A welding iron flame is being turned on and then immediately turned off.,Someone cleans a hard surface using a hose.
bohinj_forestFootsteps.wav,A small fire crackling and footsteps of the user in a wooded area.,Birds chirp as footsteps come near then walk far away.,"Footsteps approach, then go away, as birds chirp in the area.","Out in nature, birds singing, steps staring to move on the ground","Out in nature, the birds sing, steps start to move on the ground."
"Uh, Hi, Mom. I Crashed the Car.wav",A man is speaking at a very slow pace.,A man is talking to someone about something.,A man is talking in a nervous manner.,A person speaks but mumbles over their words nervously.,"A person speaks, with a weak cadence to their words and voice."
Busy Coffee Shop.wav,A coffee machine operates as people converse in the background.,A coffee machine preparing coffee while people talk in the background.,A milk shaker filling up is accompanied by various scratching noises,People talk together while another person fills a container with water.,Someone filling a container with water while others are talking.
Water Pour and Drink.wav,"A person fills up a glass with a beverage, then quickly chugs it and breathes heavily","A person fills up a glass with liquid, then quickly gulps it and breathes heavily.",Water is poured into a container and is drunk by a person who pants and continues to chug.,Water is poured into a container and then gulped by someone who pants and continues to chug.,"Liquid is poured into a cup, gulped down the throat of a person, then breathing, more gulping, then more breathing."
outdoors ambient windy wind leaves rustle.wav,A sizzle pan has some items being scooped inside its cooking oil.,Food sizzling in a pan while being cooked on a stove.,Steaks are cooked on a grill and flipped to the other side to cook.,Steaks on a grill and being flipped over to finish cooking.,The sizzling of food cooking on a stove or in a pan.
vacuum power head.wav,A blow dryer running a little loudly and having its ups and downs.,A machine is being ground against another hard object that is moving at variable speeds.,A machine is grinding against another hard object at varying speeds.,An piece of metal is being filed and ground against a spinning blade,The electric saw is being used in the garage.
Buddhist Bells.wav,A bell is rung threes times and the ringing fades away between each ring.,A person plays a triangle and it vibrates the sound.,"Metal instruments are being struck repeatedly, creating a high pitched noise",Metal instruments are struck repeatedly creating a high pitched noise,Someone playing the triangle with vibrations creating sound.
Packaging Paper Pen Scribble.wav,Somebody writing and making a tapping noise in the foreground.,Someone is writing and then lays ink pen down.,Someone rubs and a tapping sound is audible in the foreground.,Someone writes for a while and then sets down their pen.,Something boils against a backdrop of chopping and stirring
kitchen-door.wav,A door creaks open and closes followed by footsteps,A door is opened and it squeaks as a person ambulates.,A person is opening and closing a creaky door.,A person is opening up cupboards to see what is inside.,Someone is opening and closing a locker in a silent environment with a creaking noise.
cd_load_26sedit.wav,A radio is in between stations and playing static.,A radio that is in between stations and playing static.,A radio tuner being moved across static and various weak stations emitting Morse code.,"As a radio tuner is being moved, static and several weak stations sending Morse code are emitted.",a person trying to get a signal on an old radio
dishwasher beep and motor.wav,"A machine started moving stopped, adjusted and continued working","A machine started moving until the worker stopped and adjusted the machine, then continued working.","A person starts a lawnmower, stops it and then starts the lawnmower again.","Someone is operating some industrial machinery before it stalls, and then they restart it.","Someone is operating some industrial machinery before stalling it, and then restarting it."
Sugar Packet.wav,A container of pills are shaken back and forth harshly then at a steady beat then fast and harsh.,"Someone crumples up a candy wrapper, bends it so it breaks, and wads it up.",Someone is playing with the plastic cover for a product.,Someone is shaking a sugar packet at varying speeds.,"Candies in a container are shaken back and forth harshly, then in a steady beat, then fast and harsh"
Heavy Rain 1.wav,A Heavy rain storm violently hits the ground.,A heavy rainstorm violently hits the solid ground.,Heavy rain viewed from underneath a shielded area.,Moderate to heavy rainfall with light thunder in the background.,Moderate to heavy rainfall with slight thunder in the background.
Steps Indoor medium soft Shoe Sole accompanying wooden Floor hollow Big Room 5mx10mx6m.wav,A person roams around then they strolls away.,A person walks in shuffles around and then they walk away.,Heavy footsteps walking and scraping across a hard floor.,Many footsteps in a hallway and then a slight pause,footsteps with heavy foot ware on a floor of wood
CivicSI.Accelerating.1.wav,"A motor bike is started, and it revs its engine, before racing past while changing gears.","A motor bike starts, revs its engine and then races past as it changes gears.",A race car taking off from a garage at the racetrack.,A sports cars gears are shifted multiple points in time then navigates towards a street of crushed rock.,a sports car shifting gears four times and then cruising onto a gravel road.
Windshield Wiper.wav,"After vigorous cleaning, water is running and a brush is scrubbing.","Someone cleaning with a spraying tool, then scraping and squeaking.","The man uses the spraying tool to clean, causing the siding to scrape and squeak.",Water is moved with a squeegee and floor is swept.,Water is moved with a squeegee and then the floor is swept.
Pasta bag shuffling.wav,Packing paper is being loudly crunched by a person.,Someone grabbing a bag of potato chips and folding the bag.,Someone grabs a bag of potato chips and folds the bag,Someone opens up a paper bag and puts things inside it.,"Something is being crunched, then, after a pause, the crunching continues."
Oie 01.wav,A duck vigorously squeaking and anther duck joined it.,A goose cawing and stressing its voice and getting a response from other geese.,A bird is squawking and then it breathes hard.,The bird is making a sound and someone is running towards the bird,The goose honked loudly and the other geese cawed a response.
cooking onions.wav,A pan with frying food arranged while a boy talks.,Food fries in a metal skillet being turned over by a metal spatula,Frying or sorting something on the pan along with a boy speaking sound,"Someone is frying food in a metal skillet, using a metal turner.",Someone is frying meat and turning it in the pan and a girl talks in the background.
trainsounds.wav,A faint rumble of machinery is obscured by moving furniture followed by a high pitched squeal.,A strong wind is blowing outside and gusts blow through narrow corridors and against doors and shutters.,A train riding along the tracks making odd noises because it is old.,"An old train is going down the tracks, making strange noises.","Gusts of strong wind blow in from outside, against the doors and shutters and down the narrow corridors."
Creaking and squeaking of old headsets.wav,A person performing a delicate engineering task including operation of a winding mechanism.,A person working on a machine and tightening a ratchet,Someone knock over some item and it snapped.,The plastic package is opened slowly while the stapler staples.,"a plastic package is being slowly opened, a stapler is stapled"
Rain_inside_of_a_Car.wav,It is raining and hailing on the roof top.,The rain is falling steadily and hitting a metal roof.,rain is falling steadily and hitting a metal roof,rain loud failing on a can getting loud and louder.,something being rotated and ground up in a mixer
Crows chattering.wav,A bird squeaks rapidly while another bird in the background gradually does the same.,Birds are chattering and singing and a different bird caws in the background.,"Birds are chirping and singing, while a different bird caws in the background.",Squirrels converse and fight over bird seeds as traffic is audible in the background.,squirrels talking and fighting over bird feed with traffic in the background.
picht-type-writer.wav,A person is typing fast on a typewriter.,"A person moves through the page using a manual typewriter, and a bell rings each time the line is reset.","A person types on a manual typewriter, advancing the page and starting a new line each time the bell rings.",Someone is typing at a typewriter and the bell rings several times and each time the roller is shifted.,Someone typing on a typewriter at a constant rate.
Noise Monster 7.wav,"Animals are roaring, growling and snoring repeatedly with some sound effects applied to the noises.","Mechanical grunting, breathing and roaring with an echo.","Mechanical grunting, breathing and roaring with some echo.",The loud beast snarls and roars at various times.,some sort of large animal roaring and growling
klotsend ad veerpont ii.wav,Bubbles float to the surface of the water as someone plays in the sink.,Bubbles float to the surface of the water as someone plays in the water in the sink.,Someone is washing dishes and sinking bottles in the water.,Someone is washing the dishes and sinking bottles in the water.,Water bubbles escape from objects being dunked in water
Summer Ambiance .wav,A few birds chirping during an ominous breezing wind.,A few birds chirping during a threatening blowing wind.,A strong wind blows as birds tweet in the foreground.,A wide variety of birds are chirping and calling as the wind whistles through the enclosure.,The wind howls on as a bird chirps in the foreground.
rbh train freight by.wav,A approaching train arrives and then without stopping passes by.,"A long train rumbles past a point, wheels clicking on the joints.",A train is approaching and then the train passes by.,A train passes by on its tracks quickly.,Wheels of a train rotate swiftly along the track.
Static buzz_ Jet Take-off.wav,A car tire is losing its air throughout.,The shower is running with nobody standing in it.,The shower running with nobody standing in it.,"Throughout the tire, the car tire is losing its air.",Water under high pressure is forced out of a hose.
Ferry II.wav,A machine is constantly running as people are talking in the back.,Background noise exists over a group of people that are speaking.,Background noise of a crowd of people talking.,People are engaging in conversation in an very low roar.,a constant machine running and people talking in the back
Plastic Scraping On Wood Floor.wav,Birds or small animals are rustling around in outdoors.,Either squishing soft material among insects or something moving in the forest at night.,Many birds chirping from a distance and none of their voices dominant.,"Water running and gurgling out of a hose, which is crimped and stopping the water from flowing smoothly.",birds or small animals rustling around in an outdoor area
Footdrags Dirt.wav,A person is hiking on a dirt terrain.,Short and gravely footsteps that begin to slow down.,Someone is walking through the dirt at a relaxed pace.,Someone walking through the dirt at a pretty relaxed rate.,The person is hiking on a dirt terrain.
Gas Oven.wav,A person adjusting a gas flame and tinkering in the background.,A person is adjusting a gas flame and tinkering in the background.,A gas torch is ignited with a matchstick.,Someone has turned on the gas on a gas canister and then switched the ignition key to light it.,"Someone has turned on the gas, and switched on the ignition key to light it."
glissando1b.wav,A bell tolls in a vibrating cyclical tone while a scraping occurs.,A cyclical toll of a bell with a slight scraping sound,An affected piano chord is being played repeatedly.,An electronic pitch that changes its volume with a small metal scraping sound,a vibrating beep that gets louder and softer
gym machine.wav,A machine motor runs at varying frequencies while paper or something thin passes through.,Footfalls thump rhythmically on a treadmill at a good pace.,Someone is jogging on a treadmill and is not being very loud.,Someone is running on a treadmill at a good pace and in regular time.,Someone taking a jog on a treadmill and not very loudly.
Hand-held shower head handling .wav,A person using a hard object to tap and scrape glasses.,Different hard objects are striking other hard objects in differing ways.,Different hard objects are striking other hard objects in different ways.,Someone is pushing their fingers along a metal comb before tapping against something and filing.,Someone using a hard object to tap and scratch glass.
MrM_OldAutoFocus_Nikon2020.wav,An buzzing ratchet is set in place of its harness as the jack in the box jumps out.,Clicking noises between static noises of varying length and electricity buzzing.,Someone is pushing buttons on a device while it buzzes the rotors.,Someone pushing buttons on a device while it buzzes the rotors.,The clicking noises between static noises are of varying lengths and electricity buzzes.
twohoundsbarking.wav,An agitated pair of dogs bark at each other.,Dogs are consistently barking at regular intervals at an average pitch.,Dogs bark at a medium pace and pitch nearly constantly.,Several different dogs are barking in close proximity to each other.,Several different dogs barking in close proximity to each other.
WILDTRACK Mixed woodland in Minnesota USA.wav,"A bird has been squawking continuously, and then the other birds whistle.",A bird squawks continuously and then other birds whistle.,"Different feathered creatures screech, caw, and trill to one another as a delicate breeze blows out of sight.",Several different kinds of birds are all together and singing.,"Various types of birds squawk, caw, and chirp to each other as a soft wind blows in the background."
Static sputtering noises 1.wav,A static with a high pitch coming from a television.,A television is emitting static with a high pitch.,Someone is trying to tune the static on a radio in search of a station.,Someone trying to tune the static from a radio in search of a station.,The output of the frequency of a radio signal was distorted
Ketchup Farts #2.wav,A liquid is completely squeezed out of a tube.,A liquid is squeezed out of a tube until it is empty.,An air bladder being emptied into a jelly like material.,Something is being squeezed out of a bottle with difficulty.,The last of the liquid soap is being squeezed out of the bottle.
Knocking at door.wav,A person is in an enclosed room knocking on a door.,"An object begins tapping against a surface quietly, and the tapping grows louder and more urgent.",Someone is hammering wooden dowels into place for a flat pack build.,"Someone is knocking on a door first lightly, but then the knocks get louder and more urgent.",The knocking of someone starts quietly but gets louder and faster.
LittleChild_WoodenFloorFootsteps_01.wav,A hammer is pounding quickly then slows down towards the end.,A pounding fist in an arrhythmic pattern bangs against a wooden surface.,Heavy rhythmic dance steps along a wooden floor followed by standard walking.,Heavy rhythmic dance steps tapping on a wooden floor followed by normal walking.,Someone is repeatedly knocking on a hard surface at a medium pace.
MagnusSmallElectrWindOrgan.wav,A person playing a harmonica varies between different pitches.,An accordion is played at different tones of high and low.,High and low notes being played on an accordion.,Musical notes from an accordion rise and descend as they are played.,Someone is playing a simple music using an accordion
Metal_Workshop_3.wav,A drill is being used and then a piece of metal clatters to the ground.,Employees working in an automotive shop and moving around parts.,Large machinery is being operated while a sander is sanding metal in the background.,"When a drill was being used, a piece of metal clatters to the ground.",Workers in an auto garage working and moving around parts.
"Ninos y monitores en el comedor, catalan_castellano.wav",A family is speaking to each other while dishes are clanging in the background and a chair is moved.,A family speaking to each other with dishes clanging in the background and a chair being moved.,People talking to each other at a dinner table.,"Two women have a conversation, and are interrupted by a young girl and someone lets out a hush.","Two women have a conversation, and they hush a young girl whom interrupts them."
Plane Edge540 Hannes Arch.wav,"A plane flies by, and people politely clap.",People applauded as the plane buzzed and roared past them,People are applauding as a plane is flying by loudly.,People clap after a plane flies past them,a plane goes by followed by people clapping
treefrogs.wav,A machine is turning back and forth continuously.,A sander is sanding and a second sander starts sanding.,Rhythmic swishing or whirling like a street sweeper might make.,"Steam slowly rises from the train engine, steadily becoming quicker.","The swishing or whirling was rhythmic, like that of a street sweeper."
SYnth_NoisesAV.wav,"A broadcast that is not able to be discerned, with bad audio.",A growing vibration of buzzing that soon recedes and abates,A radio signal echoing quickly and then to slowly.,A very distorted broadcast of some sort or a bad receiver of audio.,a radio signal echoing quickly and then slowly
Plunger Pop.wav,A wine bottle popping open with sparkles and popping again.,A wine bottle was popping open while fizzing and popping again.,A wine cork is popped three times and a latch is fastened.,Several champagne bottles have the corks popped off.,Three wine corks are popped and a latch is fastened
rum.wav,"A water bottle has water on top of the ice inside of it, and a lid is securing the bottle.",Someone is opening containers by opening caps and pouring liquid,Someone opens metal containers by opening caps and pours liquid all over the carpet.,"Two times a bottle is opened, a cup is put down, and liquid is poured into the cup.","Two times a bottle is opened, a cup is put down, and liquid is poured."
texture04.wav,A bug zapper killing bugs while a heat and air unit is running.,A bug zapper killing bugs while a heating system is humming.,A mechanical buzzing with a rotating water sprinkler.,Air is moving close to a machine and is creating static.,Air is moving close to a machine that is creating static.
_01storm - orage.wav,"As the man left the building, strong wind blew, rain began to fall and thunder boomed in the distance.","As the man left the building, the storm grew stronger",Rain is pouring down while thunder is occurring.,The rain continues as thunder rumbles in the distance.,Thunder rumbles in the distance as rain patters down
